Year,Big Data,Cloud Computing,Mobile First,Internet of Things (IoT),AI,Machine Learning,DevOps,Cybersecurity,Edge Computing,Zero Trust Security,Sustainable IT,Generative AI,AI Governance,Neural Interfaces
2012,4,4,0,0,0,0,0,0,0,0,0,0,0,0
2013,2,4,4,2,0,0,0,0,0,0,0,0,0,0
2014,2,4,4,2,0,0,0,2,0,0,0,0,0,0
2015,2,4,4,2,2,2,2,2,0,0,0,0,0,0
2016,2,4,2,2,2,4,4,4,0,0,0,0,0,0
2017,2,4,2,2,3,4,4,4,0,0,0,0,0,0
2018,2,4,2,2,4,5,4,4,0,0,0,0,0,0
2019,2,4,2,4,5,5,4,4,0,0,0,0,0,0
2020,2,4,2,4,5,5,4,5,0,0,0,0,0,0
2021,2,4,2,4,5,5,4,5,2,0,0,0,0,0
2022,2,4,2,4,5,5,4,5,4,4,3,0,0,0
2023,2,4,2,4,5,5,4,5,4,4,3,4,0,0
2024,2,4,2,4,5,5,4,5,4,4,4,5,4,0
2025,2,4,2,4,5,5,4,5,4,4,4,5,4,1
